"","coordinates_lat","coordinates_lon","date","zipCode"
"444",55.343204,10.295571,2000-03-15,5250
"445",56.388233,9.891461,2013-09-05,8870
"446",55.256886,12.0268345,2023-07-27,4683
"447",55.921505,11.922737,1998-06-30,3630
"448",55.646225,12.629476,2016-03-11,2300
"449",57.40704,10.429461,1999-12-14,9900
"450",55.710804,11.849293,2020-01-06,4070
"451",55.94836,11.474964,1992-01-01,4500
"452",55.495995,8.407277,1993-08-15,6710
"453",57.324287,10.385462,2003-04-11,9300
"454",55.7267,8.531072,2017-06-20,6800
"455",56.721767,10.108751,2009-07-02,9560
"456",55.28226,11.507653,2005-10-13,4250
"457",55.85929,12.460281,2010-04-12,3460
"458",55.276245,9.890719,1993-07-29,5610
"459",55.327343,11.134444,2019-03-29,4220
"460",57.04804,10.012615,1996-07-10,9220
"461",56.155716,9.911624,2024-12-18,8464
"462",55.9589,12.527626,1996-03-16,3050
"463",55.470787,8.453345,2020-07-28,6700
"464",55.918747,10.248917,2015-07-04,8300
"465",55.91396,11.924381,1995-08-21,3630
"466",55.552624,8.115833,2019-12-02,6857
"467",55.708523,12.588309,2018-11-27,2100
"468",55.4569,9.558053,2002-06-26,6091
"469",56.15694,10.123486,2005-05-05,8220
"470",55.61478,12.581193,2023-08-15,2770
"471",55.766014,12.583437,1998-01-12,2920
"472",55.2914,11.750496,2019-03-27,4160
"473",57.074368,10.256357,1994-02-17,9370
"474",56.78624,9.093053,2022-03-17,7870
"475",55.67197,12.511992,2018-10-04,2000
"476",55.600075,11.966878,2024-08-31,4320
"477",55.76536,12.583549,2006-11-06,2920
"478",55.46169,12.174215,2007-05-14,4600
"479",55.68039,11.088894,2014-03-06,4400
"480",55.99183,8.324539,2022-08-10,6900
"481",55.63486,12.594028,2021-08-17,2770
"482",55.69564,12.479349,2023-08-18,2720
"483",56.07816,12.519227,2006-11-02,3140
"484",56.01988,12.072283,1992-04-02,3300
"485",55.17332,11.651148,1997-10-21,4736
"486",56.027496,12.196812,2002-04-06,3200
"487",56.64462,10.005222,1999-10-20,9550
"488",57.037777,9.9708395,2022-04-25,9000
"489",55.590054,11.851118,2001-11-15,4330
"490",55.393055,10.407979,2013-06-28,5000
"491",55.80285,11.531757,2004-12-20,4550
"492",55.721184,8.342968,2024-12-30,6855
"493",56.093124,12.395325,2017-08-18,3120
"494",55.408733,8.39318,2010-09-19,6720
"495",55.64573,12.618371,2007-09-26,2300
"496",55.65496,12.536166,2019-03-18,2450
"497",55.728542,12.564756,2019-10-01,2900
"498",55.52058,10.020407,2005-04-18,5400
"499",56.243404,10.578271,1995-07-31,8400
"500",55.058544,11.828318,1999-07-12,4760
"501",55.661682,12.512023,2006-04-09,2500
"502",55.70688,11.707164,1997-07-27,4300
"503",55.596237,11.967093,1995-06-04,4320
"504",55.69171,12.53518,1997-07-08,2000
"505",55.211132,9.441171,2014-10-16,6100
"506",54.66734,11.95853,2022-06-16,4873
"507",56.010532,11.9526615,1992-08-24,3360
"508",57.0439,9.91823,2013-03-20,9000
"509",54.991776,12.341889,2015-03-17,4780
"510",55.57172,12.278092,1992-09-10,2670
"511",55.814327,9.921707,1994-10-17,8700
"512",55.850822,11.987111,1995-11-09,3630
"513",55.715378,12.468381,2000-06-18,2700
"514",55.884197,12.488281,2024-11-30,2970
