nr,longitude,latitude
2860,12.48425242,55.73800813
2870,12.527951,55.73206179
2880,12.44587672,55.76191781
2900,12.56946744,55.73442051
2920,12.6282041,55.75754187
2930,12.62132919,55.79609961
2942,12.59260158,55.82842884
2950,12.64375317,55.86532817
2960,12.54954886,55.88693173
2970,12.43890506,55.88126308
2980,12.45605071,55.91992432
2990,12.51321363,55.92959715
3000,12.61245096,56.03943161
3050,12.53687938,55.9604599
3060,12.54283631,55.99425687
3070,12.59499744,56.00467892
3080,12.45560033,56.02560338
3100,12.45420474,56.10118532
3120,12.38687452,56.10714196
3140,12.5430865,56.09086037
3150,12.5478008,56.06020462
3200,12.1715219,56.01099572
3210,12.13066388,56.09457775
3220,11.95917304,56.12775807
3230,12.06980339,56.22745639
3250,12.29353244,56.16514414
3300,12.05634805,55.97774198
3310,12.06925064,55.91156813
3320,12.15008815,55.93559156
3330,12.2099944,55.8837888
3360,11.87609952,56.09213437
3370,11.97025413,55.99124483
3390,11.6705916,56.26445585
3400,12.28696917,55.92123871
3450,12.33661891,55.86605512
3460,12.41757019,55.84270608
3480,12.40200836,55.97086354
3490,12.49542003,55.99928886
3500,12.35591788,55.77912974
3520,12.35067108,55.81981968
3540,12.28059858,55.8397364
3550,12.17447416,55.85027208
3600,12.07923445,55.85479562
3630,11.91680034,55.86932225
3650,12.1609202,55.78991195
3660,12.27836793,55.80077298
3670,12.23729507,55.75497247
3700,14.40163467,54.98495945
3720,14.7409871,54.6920138
3730,15.39301087,54.87126103
3740,15.67679007,55.30340399
3751,15.02005943,55.1396331
3760,15.21574747,55.51191781
3770,14.76377199,55.36353136
3782,14.81018781,55.19264146
3790,14.52165638,55.2284316
4000,12.06373356,55.65647451
4030,12.16990416,55.59602755
4040,12.10404063,55.75603087
4050,12.01351904,55.75873813
4060,11.87375746,55.65437818
4070,11.92418149,55.70417096
4100,11.82805925,55.43053197
4130,12.00904287,55.55011926
4140,11.97092667,55.49411646
4160,11.77284465,55.32910688
4171,11.67300466,55.36237671
4173,11.66419067,55.43261731
4174,11.85552289,55.52537395
4180,11.55727004,55.40880423
4190,11.52243487,55.50160113
4200,11.37134678,55.40887345
4220,11.02962796,55.34799675
4230,11.34912168,55.17717085
4241,11.26373834,55.36414208
4242,11.26828566,55.3061459
4243,11.46287897,55.22423719
4244,11.12804101,55.22799697
4245,11.15794643,55.1182759
4250,11.55229442,55.31864081
4261,11.42947642,55.28221993
4262,11.528121,55.25079677
4270,11.30548124,55.50308551
4281,11.04711131,55.51887316
4291,11.38504044,55.55253436
4293,11.48228398,55.53579978
4295,11.57749201,55.55246779
4296,11.6485466,55.54056312
4300,11.69985606,55.73825064
4305,11.80968567,55.78240201
4320,11.95696429,55.59456942
4330,11.86940589,55.58583604
4340,11.74532267,55.61818163
4350,11.64996808,55.59017034
4360,11.78695601,55.56442046
4370,11.7241173,55.54054576
4390,11.74969494,55.66270448
4400,10.97431629,55.70601705
4420,11.60711139,55.66048124
4440,11.49619782,55.62211279
4450,11.38733175,55.61622153
4460,11.37072627,55.6969919
4470,11.29429706,55.65722471
4480,11.15168308,55.5741086
4490,11.23183281,55.61730235
4500,11.56343652,55.9928841
4520,11.48951817,55.71737311
4532,11.56410432,55.73610011
4534,11.40509,55.76162863
4540,11.37403038,55.85310811
4550,11.49734325,55.81190532
4560,11.56036901,55.84646728
4571,11.58697448,55.79587455
4572,11.62326767,55.88038731
4573,11.55659445,55.90779403
4581,11.71725292,56.01043371
4583,11.26204837,56.08627395
4591,11.27498796,55.79702076
4592,11.03916639,55.92069678
4593,11.23692126,55.7277303
4600,12.22015308,55.45527126
4621,12.08017443,55.5745913
4622,12.11265454,55.54041131
4623,12.08511883,55.50779016
4632,12.02691725,55.44838852
4640,12.12411652,55.2685839
4652,12.22317915,55.36245892
4653,12.21696415,55.29633252
4654,12.19373813,55.19490482
4660,12.51110642,55.33554618
4671,12.31112895,55.42088958
4672,12.4342892,55.44595315
4673,12.38750748,55.20085779
4681,12.14194267,55.41715543
4682,12.08719823,55.38830546
4683,12.02277028,55.23758668
4684,11.86408266,55.25979308
4690,11.95519764,55.32031014
4700,11.77357353,55.19504272
4720,12.19166049,55.12208613
4733,11.98569733,55.18127292
4735,12.06283657,55.04277496
4736,11.6361743,55.15521424
4750,11.78064612,55.10685595
4760,11.8960716,55.02464842
4771,12.15645358,55.00889353
4772,12.08817698,54.99961116
4773,12.03439585,54.97060588
4780,12.31627561,54.9362949
4791,12.7284169,54.97429881
4792,12.52545007,54.7375487
4793,12.05993905,54.92382082
4800,11.90198993,54.7930621
4840,11.78722678,54.93527293
4850,12.41175242,54.71290684
4862,11.62528305,54.90483893
4863,11.90575722,54.86008913
4871,12.29995982,54.69990623
4872,12.11248046,54.70210497
4873,11.98479974,54.66359732
4874,11.9502463,54.49608541
4880,11.74490279,54.62941506
4891,11.77556621,54.7578349
4892,11.74606046,54.70725618
4894,11.60726017,54.68554952
4895,11.53487222,54.63787516
4900,10.98835691,54.75748092
4912,10.98695965,54.90510445
4913,11.20918569,54.96838447
4920,11.29197531,54.79935911
